track.name,album_name,album_type,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist
#Sarkanbaltsarkanais,#Sarkanbaltsarkanais,single,38.0,0.738,0.785,11,-5.003,0.104,0.0608,0.0,0.403,0.626,110.118,Bermudu Divstūris
'Til We Meet Again,MY WORLD - The 3rd Mini Album,single,63.0,0.474,0.857,5,-2.577,0.0571,0.134,0.0,0.113,0.552,155.71,aespa
00:00,00:00,single,60.0,0.563,0.572,4,-8.769,0.125,0.64,0.00227,0.1,0.392,95.013,Lartiste
0321,0321,single,67.0,0.658,0.417,2,-6.485,0.0366,0.625,0.0,0.132,0.0748,171.974,space x
085 - Ao Vivo,Pode Crê (Ao Vivo),album,83.0,0.85,0.655,2,-2.891,0.0298,0.211,0.0,0.952,0.797,106.031,MC Rogerinho
1,1,single,68.0,0.832,0.617,5,-8.412,0.055,0.0911,1.73e-05,0.123,0.608,125.994,Broiler
10 AF 10,600,album,42.0,0.542,0.513,1,-6.683,0.236,0.0707,0.000179,0.31,0.35,100.762,Daniil
10 minutes,10 minutes,single,64.0,0.597,0.494,11,-8.263,0.469,0.189,1.55e-06,0.0813,0.504,139.889,PLK
100 OPPS,100 OPPS,single,73.0,0.77,0.578,1,-3.726,0.0977,0.0522,0.0,0.0795,0.66,151.24,Shiva
100 lány,100 lány,single,41.0,0.847,0.607,1,-8.057,0.212,0.444,2.72e-06,0.0956,0.613,110.04,VALMAR
10:35,DRIVE,album,75.0,0.696,0.793,8,-5.733,0.097,0.0683,3.78e-06,0.18,0.698,120.003,Tiësto
10MG,10MG,single,75.0,0.737,0.488,1,-9.751,0.196,0.595,1.53e-05,0.103,0.248,127.124,Motive
115万キロのフィルム,エスカパレード,album,74.0,0.516,0.791,3,-1.927,0.0318,0.00345,0.0,0.141,0.48,96.921,OFFICIAL HIGE DANDISM
17,Ceramics Runway,single,74.0,0.748,0.837,10,-4.783,0.161,0.155,0.00426,0.126,0.97,150.073,ADAAM
17 år,Och vinnaren är...,album,68.0,0.76,0.675,1,-6.299,0.0254,0.244,8.42e-06,0.105,0.783,106.942,Veronica Maggio
17. Mai er vi så glad i,17. Mai er vi så glad i,single,58.0,0.652,0.593,4,-8.957,0.363,0.151,0.073,0.472,0.624,127.928,RykkinnFella
17.mai,SÅ KLART DET GJØR VONDT,album,45.0,0.641,0.674,10,-9.184,0.0879,0.49,0.000197,0.283,0.227,119.895,Ramón
1700 Waiting (Radio Edit),1700 Waiting (Radio Edit),single,20.0,0.703,0.714,0,-5.341,0.0305,0.0108,0.0,0.296,0.289,100.047,DJ CHRXN
18,FOUR (Deluxe),album,83.0,0.681,0.582,6,-7.76,0.0313,0.22,0.0,0.119,0.221,124.038,One Direction
1Trago,1Trago,single,78.0,0.669,0.829,0,-5.008,0.0369,0.0253,0.0,0.0635,0.369,121.978,Danna Paola
2 AM IN JERSEY,2 AM IN JERSEY,single,18.0,0.854,0.64,4,-5.714,0.143,0.304,0.0,0.0942,0.645,99.842,$tories
2 Be Loved (Am I Ready),Special,album,77.0,0.721,0.769,7,-4.111,0.105,0.0922,0.0,0.0817,0.915,155.932,Lizzo
2 Hielos,WorKING,album,71.0,0.834,0.628,10,-8.682,0.11,0.0727,2.96e-05,0.25,0.914,104.975,King Savagge
2 Sugar (feat. Ayra Starr),"More Love, Less Ego",album,73.0,0.914,0.643,6,-3.862,0.134,0.0498,0.0,0.0618,0.764,105.033,Wizkid
2003,2003,single,62.0,0.611,0.644,11,-5.293,0.284,0.633,0.0,0.0778,0.78,93.513,Elai
2015,2015,single,57.0,0.811,0.576,6,-7.651,0.0826,0.00507,1.03e-06,0.121,0.62,115.988,Norlie & KKV
2023 04 12 Ócsa,Long Live AKC,album,45.0,0.5,0.56,10,-6.763,0.328,0.0269,0.0,0.119,0.462,82.556,AKC Misi
24,BLESSED,album,61.0,0.802,0.754,4,-8.258,0.146,0.898,3.2e-05,0.123,0.79,141.044,RICTA
24 karát,24 karát,single,53.0,0.813,0.682,1,-6.768,0.157,0.245,0.0,0.234,0.537,151.072,Young Fly
