album_name,track_name,album_type,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist
#Sarkanbaltsarkanais,#Sarkanbaltsarkanais,single,38.0,0.738,0.785,11,-5.003,0.10400000000000001,0.0608,0.0,0.40299999999999997,0.626,110.118,Bermudu Divstūris
#osnrap,Without You,album,65.0,0.669,0.698,11,-4.613,0.091,0.573,0.0,0.102,0.28600000000000003,80.003,高爾宣 OSN
- (Deluxe),Boat,album,75.0,0.47,0.203,4,-8.676,0.0371,0.758,2.41e-06,0.312,0.325,153.578,Ed Sheeran
- (Deluxe),Curtains,album,83.0,0.5,0.757,6,-6.542000000000001,0.0522,0.0989,2.5e-06,0.324,0.44299999999999995,175.94400000000002,Ed Sheeran
- (Deluxe),Dusty,album,65.0,0.711,0.55,2,-9.682,0.0332,0.226,0.00928,0.12,0.616,146.928,Ed Sheeran
- (Deluxe),End Of Youth,album,70.0,0.6629999999999999,0.436,3,-7.81,0.0359,0.488,0.0,0.11599999999999999,0.316,143.197,Ed Sheeran
- (Deluxe),Eyes Closed,album,82.0,0.7929999999999999,0.52,11,-7.457000000000001,0.0696,0.24600000000000002,0.0,0.0878,0.309,107.014,Ed Sheeran
- (Deluxe),Life Goes On,album,74.0,0.629,0.312,1,-7.609,0.0318,0.813,0.0,0.16899999999999998,0.456,77.044,Ed Sheeran
- (Deluxe),Salt Water,album,75.0,0.584,0.374,4,-9.224,0.0337,0.617,2.86e-06,0.0694,0.27899999999999997,147.084,Ed Sheeran
00:00,00:00,single,60.0,0.563,0.5720000000000001,4,-8.769,0.125,0.64,0.00227,0.1,0.392,95.01299999999999,Lartiste
0321,0321,single,67.0,0.6579999999999999,0.41700000000000004,2,-6.485,0.0366,0.625,0.0,0.132,0.0748,171.97400000000002,space x
1,1,single,68.0,0.8320000000000001,0.617,5,-8.412,0.055,0.0911,1.73e-05,0.12300000000000001,0.608,125.994,Broiler
1.6,HINATA,album,62.0,0.836,0.519,9,-9.622,0.0788,0.568,6.78e-06,0.0714,0.596,114.97399999999999,TIF
1.6,SHADOW BOXING,album,64.0,0.547,0.672,8,-7.73,0.174,0.598,0.0,0.0964,0.0862,100.791,TIF
10 minutes,10 minutes,single,64.0,0.597,0.494,11,-8.263,0.469,0.18899999999999997,1.55e-06,0.0813,0.504,139.889,PLK
100 OPPS,100 OPPS,single,73.0,0.77,0.578,1,-3.7260000000000004,0.0977,0.0522,0.0,0.0795,0.66,151.24,Shiva
100 dni do matury,GOMBAO 33,album,60.0,0.7440000000000001,0.603,6,-8.77,0.239,0.353,0.0,0.135,0.215,125.984,Mata
100 lány,100 lány,single,41.0,0.847,0.607,1,-8.057,0.212,0.444,2.72e-06,0.0956,0.613,110.04,VALMAR
10MG,10MG,single,75.0,0.737,0.488,1,-9.751,0.196,0.595,1.53e-05,0.10300000000000001,0.248,127.124,Motive
11月的蕭邦,一路向北,album,63.0,0.456,0.617,5,-6.252000000000001,0.0273,0.0133,5.9499999999999996e-05,0.11599999999999999,0.3,133.917,Jay Chou
11月的蕭邦,楓,album,63.0,0.502,0.435,0,-7.1770000000000005,0.0292,0.76,0.0,0.135,0.145,134.425,Jay Chou
1371 KM,Polaris,single,77.0,0.54,0.541,8,-8.299,0.231,0.48700000000000004,0.0,0.0969,0.52,84.33200000000001,Saiko
17,17,single,74.0,0.733,0.8370000000000001,1,-6.303999999999999,0.161,0.155,2.65e-05,0.122,0.9329999999999999,150.07299999999998,ADAAM
17,Revenge,album,87.0,0.746,0.251,11,-16.169,0.259,0.782,0.00203,0.106,0.18,139.999,XXXTENTACION
17 мгновений осени,Где прошла ты,album,63.0,0.732,0.5720000000000001,8,-7.9479999999999995,0.11800000000000001,0.266,0.0,0.106,0.429,109.896,Kravz
17. Mai er vi så glad i,17. Mai er vi så glad i,single,58.0,0.652,0.593,4,-8.957,0.363,0.151,0.073,0.47200000000000003,0.624,127.928,RykkinnFella
1700 Waiting (Radio Edit),1700 Waiting (Radio Edit),single,20.0,0.703,0.7140000000000001,0,-5.341,0.0305,0.0108,0.0,0.29600000000000004,0.289,100.04700000000001,DJ CHRXN
19 & Dangerous,Fashion Killer,album,62.0,0.777,0.674,5,-8.998,0.147,0.23600000000000002,0.00039,0.138,0.336,99.96600000000001,Ayra Starr
19 & Dangerous (Deluxe),Rush,album,82.0,0.792,0.503,1,-8.044,0.0626,0.0369,0.00057,0.0959,0.381,99.97,Ayra Starr
1989 (Deluxe),Blank Space,album,89.0,0.76,0.703,5,-5.412000000000001,0.054000000000000006,0.10300000000000001,0.0,0.0913,0.57,95.99700000000001,Taylor Swift
1989 (Deluxe),Style,album,87.0,0.588,0.7909999999999999,7,-5.595,0.0402,0.00245,0.0025800000000000003,0.11800000000000001,0.48700000000000004,94.93299999999999,Taylor Swift
1Trago,1Trago,single,78.0,0.669,0.8290000000000001,0,-5.008,0.0369,0.0253,0.0,0.0635,0.369,121.978,Danna Paola
2 AM IN JERSEY,2 AM IN JERSEY,single,18.0,0.8540000000000001,0.64,4,-5.7139999999999995,0.14300000000000002,0.304,0.0,0.0942,0.645,99.84200000000001,$tories
2000,La Bachata,album,87.0,0.835,0.679,7,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98,Manuel Turizo
2003,2003,single,62.0,0.611,0.644,11,-5.292999999999999,0.284,0.633,0.0,0.0778,0.78,93.51299999999999,Elai
2014 Forest Hills Drive,No Role Modelz,album,91.0,0.69,0.521,10,-8.492,0.33899999999999997,0.324,0.0,0.0534,0.494,100.02799999999999,J. Cole
2014 Forest Hills Drive,Wet Dreamz,album,86.0,0.495,0.722,6,-8.107999999999999,0.35700000000000004,0.0697,0.0,0.113,0.539,175.627,J. Cole
2015,2015,single,57.0,0.8109999999999999,0.5760000000000001,6,-7.651,0.0826,0.00507,1.03e-06,0.121,0.62,115.988,Norlie & KKV
2022 war film gewesen,Party Sahne,album,74.0,0.833,0.9179999999999999,8,-6.397,0.092,0.0778,2.6000000000000002e-05,0.574,0.846,135.942,Ski Aggu
2023,מתי את חוזרת,album,52.0,0.58,0.47,11,-8.913,0.0331,0.479,0.0,0.0782,0.381,136.032,Eyal Golan
2023,עיר נמל,album,56.0,0.723,0.741,11,-6.608,0.0332,0.0594,0.0,0.0963,0.556,100.012,Eyal Golan
2069',Demain,single,79.0,0.726,0.675,1,-8.251,0.16,0.272,0.0,0.121,0.846,137.954,PLK
2069',Nouvelles,single,75.0,0.536,0.655,11,-7.636,0.22,0.011000000000000001,0.0004980000000000001,0.106,0.434,196.007,PLK
2069',Pelo,single,70.0,0.82,0.526,5,-10.328,0.256,0.7879999999999999,0.0,0.10099999999999999,0.738,115.029,PLK
